cid,cname,cp,img,info,study_c,les_c,price,mg
1209346809,Python爬虫+Excel/VBA办公自动化,乐学偶得,https://edu-image.nosdn.127.net/98ba84ca0aae4faa85a7e71a7afa0957.png?imageView&quality=100&crop=0_15_1884_1062,"中国加油！世界加油！全民战疫,独家附赠远程办公手机随处操控Window与Mac跨平台办公与自动办公结合等内容持续更新,2020全面升级0.独家微软官方力荐JSAPI自动办公混合开发实战1.系统化Python爬虫实战项目2.VBA零基础到系统进阶+Python+VBA+Windows原生接口混合开发3.Excel,PPT,Word,爬虫,自动邮件发送结合4.模块化思想,代码可灵活组合,构建适合自己的定制化项目干货多多,细致讲解,现场逐行讲解,零基础也可跟着视频操作1个课程包含同类5-10个课程知识点与项目一课巩固Python基础+进阶+各类实战、实用操作“法乎其上,得乎其中;法乎其中,得乎其下”——《论语》乐学偶得特聘国际专家团队教研，直接提升您的工作与学习效率，让您少走弯路内容前沿独家稀缺,不少职业VBA/Python讲师也在悄悄学习哦~嘘~\(^v^)/GO例:自动办公部分，从简单VBA+Python现成库相互调用开始,从零基础轻松入门,逐步深入到自动办公操作流程本质与精髓（如世界棘手的WinAPI,COM,OLE,对象模型）与混合开发(HybridDev)等独家教研前沿技术跟专业的人,学专业事,欢迎大家加入哦~",4020,575,159.0,1
1006129049,Python编程量化AI全栈零基础入门,乐学偶得,https://edu-image.nosdn.127.net/35b3a192f0054a9a87cd5c9d5bdad4d5.png?imageView&quality=100&crop=0_1_875_486,"本系列课程包括零基础入门+高阶提高+实战运用+拓展篇2000+系列连载课程,科学,系统,成熟六大黑科技挑战任务作业互动激励机制挑战解锁价值上千元深度系列课程内容由世界500强内训师&实战经验丰富专家执教配套交流群老师答疑与课堂笔记与习题1.零基础入门从最简单自带编辑器开始，淡化晦涩专业词汇，将基础分散成小例子，充分利用碎片时间学习2.全栈架构师前端,后端,服务器,数据库等全面介绍,用Python打通任督二脉,实战FlaskDjango等热门框架,上线商业网站3.FinTech与量化交易基础到实战:不仅包括A股美股常规的自动交易,选股,择时,风控,回测系统搭建,更有宏观经济判断,行业投研,公司财务报表分析,建模与估值等全流程分析.并加入机器学习,自然语言处理等前沿技术助力4.数据科学与机器学习从零开始介绍数据科学常用方法与机器学习,从原理层面理解“黑箱”。进阶部分实战深度学习与Tensorflow等框架5.选修AI视觉自动驾驶结合AI与计算机视觉,搭建自动驾驶系统6.Python高阶系统的算法数据结构强化训练,世界500强面试经典题目讲解7.有趣DIY爬虫操控ExcelWordPPT微信邮件提升工作效率生活品质",8897,1020,199.0,1
1004119028,邢不行—Python股票量化投资课程,邢不行python量化,https://edu-image.nosdn.127.net/64ac5acf-4726-4145-aaa1-8251196eccec.png?imageView&quality=100&crop=0_0_439_247,试看点击上方目录，查看课程试看部分，干货很多哦！好评查看课程真实评论，了解之前学生对课程的看法。课程特色：★无需编程基础小白从零上手★大量实战案例作为配套作业★配套社群、助教，全程答疑,808,39,1688.0,2
1005149010,邢不行—数字货币python量化投资,邢不行python量化,https://edu-image.nosdn.127.net/587357bc02064b2b9c23c29896e1cd32.png?imageView&quality=100&crop=0_0_879_495,优惠添加邢不行微信xbx2626，发送WY1，获取专属88元课程优惠券试看点击上方目录，查看课程试看部分，干货很多哦！好评查看课程真实评论，了解之前学生对课程的看法。课程特色：★十五节精心准备的视频课程★配套社群、助教，全程答疑★无需编程基础小白从零上手,923,22,2188.0,4
1209570828,Python零基础入门高薪必看动画课,大熊课堂,https://edu-image.nosdn.127.net/4d0cc2280d144fbd95bd7f67eb7c49cc.png?imageView&quality=100&crop=0_0_439_247,用动画学Python《Python零基础入门到高薪必看动画课》5大就业方向案例持续更新优化，包括更新大量练习和实例--课程概述（手把手教你学Python）--1.本套课程大约500-600节（1080P超清），包含Python基础知识、Python进阶知识、Python框架和5大Python项目（查看本套课程具体知识点，请点击目录选项卡）。2.持续更新大量练习题和实例3.本套课程永久有效，一次购买无二次收费4.课程中遇到问题，购课后，可加大熊PythonVIPQQ群：629543173，老师答疑。--课程特色--1、知识点超全，讲解细致2、精心设计动画，引用大量比喻帮助初学者理解编程专有名词3、中文字幕，学python和看电影一样爽4、碎片化知识，方便大家回顾查阅，温故而知新，吸收率更高，针对性更好5、视频精心剪辑，无废话，全脱水干货6、基础知识学+实例学+课后作业+5大项目：爬虫+excel+机器学习+Web网站+游戏+数据分析,2128,457,1889.0,1
1006358022,Python接口自动化测试实战,无涯课堂,https://edu-image.nosdn.127.net/87b8740f17cc415b9f10109ab55ed52c.jpg?imageView&quality=100&crop=0_0_710_400,”测试进阶必备技能！系统教学+实战分析，轻松掌握接口自动化测试！“本套课程的目标是从零基础开始，系统的讲解使用主流的开发语言Python来做接口自动化测试，里面涉及到了主流的测试工具（PostMan&JMeter），Pytest&Unittest测试框架，批量执行测试用例的服务端测试框架。本套课程知识点全网最全，知识点讲解深入浅出。课程一次购买，永久有效永久更新，学习次数不受限制，时间不受限制，学习有问题讲师随时解答。《Python自动化测试实战》书籍已出版，欢迎购买。本课程仅支持微信和支付宝支付，如果是单位或者机构，购买课程后，联系网易云客服，开具发票进行报销。添加微信(975362632)购买立减30元。购课后即可进专属VIP群，可随时向讲师即时咨询答疑。,1324,263,399.0,1
1004504016,Python全栈开发高薪特训班,知了传课,http://edu-image.nosdn.127.net/9510DD5D46D9FD564A8CC253E4114C06.png?imageView&thumbnail=120x67&quality=100,1.买本课前：先领50元优惠券+VIP学员讨论群+1对1解答服务.+下单前.下单前.先加小西qq1492168568，或微信：zlkt666领取20优惠及了解详情！2.在人工智能大行其道的时代，许多开发者对Python这门编程语言都比较熟悉。但是如何用它实现一个企业级别的项目，可能许多同学还存在一些困难。本职业规划路线是专门针对想要从事Pythonweb开发的同学而准备的，并且是严格按照企业需求的标准定制的学习路线。路线中包含Python基础和进阶、前端、MySQL数据库、Flask和Django框架以及多个企业真实项目。在学习完本路径中所有的课程后，从前端页面的实现，到后台代码的编写，再到数据库的管理，一人可以搞定一个公司网站的所有事情，真正实现全栈开发，让你升职加薪不是梦！报名须知1、本课程为Pythonweb开发VIP高级课程。一次报名，永久有效永久更新。学习不限次数，不限时间。可根据自身情况进行安排学习进度；2、课程包含老师的一对一答疑服务；3、对于课程优惠问题以及进一步了解课程可添加小西老师咨询。QQ：1492168568；,393,946,1998.0,2
1004507006,Python Flask框架——全栈开发,知了传课,https://edu-image.nosdn.127.net/258f4c8ff06943e9bdc4fc099befb21b.JPG?imageView&quality=100&crop=0_0_879_495,1.购买前必看：先加小西qq1492168568领取优惠20！领20元优惠券+VIP学员讨论群+1对1解答服务.+下单前.下单前先加小西qq1492168568领取优惠！！2.本套课程的目标是从零基础开始，使用Flask框架开发企业级的项目。课程中不仅包含了Flask框架本身的知识点，更是站在全栈的角度讲解了如何结合Flask使用ajax完成异步调度，使用redis实现大型网站的缓存优化，使用celery实现邮件的异步发送等。更是紧随时代的脚步加入了企业中必用的第三方服务如短信平台阿里大于，资源管理平台七牛云等。本套课程的项目实战不仅实现了一个前台的论坛，更有强大的CMS管理系统，让你学后立马可以编写公司网站项目！更多介绍请观看介绍视频！报名须知1、本课程为FlaskVIP高级课程。一次报名，永久有效永久更新。学习不限次数，不限时间。可根据自身情况进行安排学习进度；2、对于课程优惠问题以及进一步了解课程可添加小西老师咨询。QQ：1492168568；微信：zhiliaoketang008课后服务购买课程的童鞋凭订单号加VIP群：809448927,879,201,699.0,2
1003729016,Python零基础上手Scrapy分布爬虫,小布课堂,https://edu-image.nosdn.127.net/43f03ea41b7f493fb8b1e53f49e276a7.png?imageView&quality=100&crop=0_0_848_382,说明长期更新和维护课程内容，有任何问题随时沟通，请放心购买质量过硬的S级课程，最好的答疑服务，更全面的课程内容，性价比极高课程内容：基础内容教学、脚本爬虫和网站分析能力、Scrapy框架部分、高级爬虫进阶课程优势：一对一专业答疑，远程调配环境，爬虫思路指导教学方式：永久观看视频+365超长答疑+活跃VIP群,1121,292,388.0,2
1209509824,Python数字货币量化交易进阶课程,51bitquant数字货币量化交易,https://edu-image.nosdn.127.net/b0ef44a7053340d488498b3a4f3eb78d.png?imageView&quality=100&crop=0_0_439_247,本课程是Python数字货币量化交易进阶课程，课程内容涵盖Python面向对象基础、python多线程、网络编程、Pandas库数据处理等基础知识。课程着重讲解网络编程部分、如何请求交易所签名接口，如何对接交易所的Websocket接口并实时获取交易所高频数据，以及如何处理Orderbook等数据。课程还包括Tradingview技术指标开发、量化策略开发、策略回测、实盘交易、Linux服务器使用、服务器部署等，以及数字货币的交易规则、杠杆交易和期货的交易规则等内容讲解。课程着力打造一个从入门到实盘交易完整的Pytho数字货币量化的学习体系，当然其他股票、期货的量化大体上跟数字货币量化交易是一样的，也可以学习该课程。本课程都是手把手代码教学视频，让大家了解每一行代码的含义。课程安排上都是循序渐进，课程的代码和资料都会提供给大家学习研究。如果学习过程中遇到问题，可以随时联系我，我会尽快给你解答。学习完该课程，你将提高自己的Python编程能力、深入理解网络编程，了解http和websocket的原理和使用、学会处理交易行情数据、能够深入了解量化回测是如何进行的，能够开发自己量化策略并进行回测，开发实盘交易并部署到服务器，对数字货币量化交易有进一步深刻的认识。,403,71,399.0,2
